stadium_name,city,country,capacity,opening_year,latitude,longitude,status
Hassan II Stadium,Benslimane,Morocco,115000,2029,33.6167,-7.1833,Under Construction
New Trafford Stadium,Trafford,England,100000,2030,53.4631,-2.2914,Proposed
King Salman International Stadium,Riyadh,Saudi Arabia,92000,2032,24.7136,46.6753,Under Construction
New CR Flamengo Stadium,Rio de Janeiro,Brazil,80000,2029,-22.9068,-43.1729,Under Construction
Jaipur Cricket Stadium,Jaipur,India,75000,2027,26.9124,75.7873,Under Construction
Guangzhou Football Park,Guangzhou,China,74404,2026,23.1291,113.2644,Under Construction
New Milan Stadium,Milan,Italy,71500,2030,45.4642,9.1900,Proposed
Nou Mestalla,Valencia,Spain,70044,2027,39.4699,-0.3763,Under Construction
New National Stadium,Tbilisi,Georgia,70000,2028,41.7151,44.8271,Proposed
New Commanders Stadium,Washington DC,USA,65000,2030,38.9072,-77.0369,Proposed
Leazes Park Stadium,Newcastle,England,65000,2031,54.9783,-1.6178,Proposed
Nuevo Estadio Tigres,San Nicolás,Mexico,65000,2027,25.7413,-100.2803,Under Construction
Brisbane Olympic Stadium,Brisbane,Australia,63000,2032,-27.4698,153.0251,Proposed
Addis Ababa National Stadium,Addis Ababa,Ethiopia,62000,2028,9.0320,38.7469,Proposed
New Highmark Stadium,Orchard Park,USA,62000,2026,42.7738,-78.7869,Under Construction
New Birmingham City Stadium,Birmingham,England,62000,2029,52.4862,-1.8904,Proposed
Talanta Sports Stadium,Nairobi,Kenya,60000,2025,-1.2921,36.8219,Under Construction
New Nissan Stadium,Nashville,USA,60000,2027,36.1627,-86.7816,Under Construction
New Bengaluru Stadium,Bommasandra,India,60000,2028,12.8079,77.7102,Proposed
New Hamburg Olympic Stadium,Hamburg,Germany,60000,2028,53.5511,9.9937,Proposed
Tajiat Olympic Stadium,Tajiat,Iraq,60000,2027,33.3387,44.3939,Proposed
Chicago Bears Stadium,Arlington Heights,USA,60000,2031,42.0883,-87.9806,Proposed
Aw Abadir Stadium,Harar,Ethiopia,56000,2028,9.3133,42.1250,Proposed
New Hertha-Stadium,Berlin,Germany,55137,2027,52.5200,13.4050,Under Construction
New AS Roma Stadium,Rome,Italy,55000,2028,41.9028,12.4964,Under Construction
New Ramón Sánchez-Pizjuán Stadium,Seville,Spain,55000,2028,37.3891,-5.9845,Proposed
New İzmir Atatürk Stadium,İzmir,Turkey,55000,2027,38.4237,27.1428,Under Construction
Auckland Waterfront Stadium,Auckland,New Zealand,55000,2028,-36.8485,174.7633,Proposed
New National Stadium,Belgrade,Serbia,52000,2026,44.7866,20.4489,Under Construction
New América Stadium,Cali,Colombia,52000,2027,3.4516,-76.5320,Proposed
National Stadium,Bishkek,Kyrgyzstan,51000,2026,42.8746,74.5698,Under Construction
Rafi Cricket Stadium,Karachi,Pakistan,50000,2025,24.8607,67.0011,Proposed
National Cricket Ground,Dhaka,Bangladesh,50000,2026,23.8103,90.4125,Under Construction
New Sétif Stadium,Sétif,Algeria,50000,2027,36.1905,5.4107,Proposed
New Ankara Stadium,Ankara,Turkey,50000,2025,39.9334,32.8597,Under Construction
New Tsukiji Stadium,Tokyo,Japan,50000,2032,35.6762,139.6503,Proposed
Estadio Nacional de El Salvador,San Salvador,El Salvador,50000,2027,13.6929,-89.2182,Under Construction
Nuevo Estadio Azul,Tlalnepantla,Mexico,50000,2027,19.5289,-99.2036,Proposed
Rạch Chiếc Sport Complex Stadium,Ho Chi Minh City,Vietnam,50000,2028,10.8231,106.6297,Under Construction
